,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
6830,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1563
6831,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1560
6832,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1559
6833,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Driving under the influence of drugs,2,1730
6834,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Unknown,No distancing,2,363
6835,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,794
6836,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,793
6837,Unknown,Male,Above 10yr,Earth roads,Dry,Daylight,Unknown,Moving Backward,2,2090
6838,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Moving Backward,2,2092
6839,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,1,3102
6841,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,90
6842,Unknown,Male,5-10yrs,Earth roads,Dry,Daylight,Normal,Moving Backward,2,89
6843,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,5
6844,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,2,4
6845,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,22
6846,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1843
6847,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1844
6848,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,425
6849,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,426
6850,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2052
6851,18-30,Male,Unknown,Other,Dry,Daylight,Normal,No priority to vehicle,1,1578
6852,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,1579
6853,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,0,2823
6855,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Driving carelessly,2,121
6856,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the left,2,120
6857,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2783
6861,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Overturning,1,219
6868,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,723
6870,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,98
6871,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,17
6880,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,648
6882,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,682
6885,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,1274
6886,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,1275
6887,Unknown,Female,Unknown,Gravel roads,Dry,Daylight,Normal,No distancing,1,1273
6890,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,2626
6891,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,137
6892,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,147
6894,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,406
6895,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,405
6896,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3325
6900,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,631
6901,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,711
6902,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,153
6903,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,156
6904,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,294
6905,18-30,Male,Unknown,Other,Wet or damp,Darkness - lights lit,Raining,Turnover,2,2655
6906,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,563
6907,Unknown,Female,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving at high speed,2,2658
6910,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1368
6918,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2194
6920,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,328
6921,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2308
6923,18-30,Male,Above 10yr,Other,Dry,Daylight,Normal,Changing lane to the left,2,2307
6928,31-50,Male,Above 10yr,Asphalt roads with some distress,Dry,Daylight,Normal,Driving to the left,2,560
6930,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,297
6931,Unknown,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1473
6933,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1378
6937,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1377
6939,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1592
6941,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1596
6942,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,2511
6943,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,2510
6945,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3690
6946,Under 18,Male,2-5yrs,Gravel roads,Wet or damp,Daylight,Raining,No distancing,2,2202
6947,Under 18,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,463
6952,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,557
6953,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,552
6954,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,131
6955,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,315
6957,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,531
6959,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2998
6960,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2996
6961,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3000
6965,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,949
6969,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,3434
6971,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,No priority to vehicle,2,177
6982,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,805
6991,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,2785
6999,Unknown,Female,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,611
7000,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,207
7003,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Unknown,No distancing,2,390
7006,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,3532
7007,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overloading,2,3534
7008,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3533
7013,Under 18,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,1,2831
7014,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1947
7016,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Getting off the vehicle improperly,2,1510
7017,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No priority to pedestrian,2,1509
7018,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,967
7019,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,969
7020,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,966
7021,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,2156
7022,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1836
7023,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,1840
7024,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,50
7025,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Driving carelessly,2,587
7026,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the right,2,589
7027,Under 18,Male,Unknown,Gravel roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,2579
7032,18-30,Male,2-5yrs,Earth roads,Dry,Daylight,Unknown,Moving Backward,2,181
7036,31-50,Male,5-10yrs,Gravel roads,Dry,Daylight,Normal,Changing lane to the right,2,774
7040,Unknown,Female,Unknown,Earth roads,Dry,Daylight,Normal,Changing lane to the right,2,419
7041,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,416
7042,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,415
7043,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1721
7044,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1720
7045,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,111
7046,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,Changing lane to the right,2,532
7049,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,Changing lane to the right,2,3538
7052,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,198
7055,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,340
7056,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Drunk driving,2,115
7061,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,427
7062,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,2053
7063,18-30,Male,Unknown,Other,Dry,Daylight,Normal,Changing lane to the left,2,3180
7071,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,285
7079,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,1004
7080,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1010
7083,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Other,No distancing,2,3436
7086,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Unknown,No priority to pedestrian,2,1604
7087,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1553
7088,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,319
7093,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,1,2716
7094,Unknown,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1684
7096,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,385
7097,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overspeed,2,1873
7098,31-50,Male,Unknown,Other,Dry,Daylight,Normal,Changing lane to the left,2,1872
7099,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,0,8
7100,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,0,9
7101,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,0,15
7102,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2825
7103,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2824
7104,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Unknown,No priority to vehicle,2,89
7105,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,2,73
7106,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,Driving carelessly,2,1744
7107,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1743
7112,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3415
7115,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Unknown,No distancing,2,2934
7116,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3262
7120,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,2,107
7121,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1003
7122,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,No priority to vehicle,2,627
7123,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,626
7125,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3112
7126,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1728
7129,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,1,2478
7130,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,1,2479
7131,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving to the left,1,264
7137,Unknown,Female,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2726
7141,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Driving carelessly,2,1623
7142,Unknown,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,454
7144,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,2171
7146,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1765
7147,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,56
7148,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,55
7149,Over 51,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overturning,2,2548
7150,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3669
7151,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,749
7152,31-50,Male,1-2yr,Other,Dry,Daylight,Normal,Driving carelessly,2,2055
7153,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,295
7154,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,294
7155,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,296
7156,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,58
7157,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,402
7159,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,640
7160,31-50,Male,5-10yrs,Other,Dry,Darkness - lights lit,Normal,No distancing,2,3034
7161,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,732
7162,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3521
7163,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1524
7164,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,481
7165,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,482
7166,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,2070
7167,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2509
7168,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2507
7170,Over 51,Male,Unknown,Other,Wet or damp,Daylight,Raining,Changing lane to the right,2,81
7171,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,7
7173,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Windy,No distancing,2,1170
7174,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Windy,Overturning,2,245
7175,31-50,Male,Unknown,Asphalt roads with some distress,Dry,Daylight,Normal,Driving at high speed,2,1272
7179,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Other,1,64
7186,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,106
7188,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,9
7189,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,78
7198,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving to the left,2,2297
7200,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,1,370
7203,Over 51,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Raining and Windy,Driving carelessly,2,2687
7204,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,495
7205,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,494
7208,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,106
7209,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,488
7210,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,513
7212,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,2064
7213,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,207
7214,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,929
7218,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,21
7219,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Unknown,Changing lane to the right,1,457
7220,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Unknown,Overtaking,1,2184
7221,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Snow,Other,1,2408
7222,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,28
7223,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,142
7224,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,145
7225,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,139
7228,Under 18,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,800
7236,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Moving Backward,2,1637
7238,Over 51,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Raining,Other,2,3257
7239,Under 18,Male,5-10yrs,Other,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,1491
7240,Under 18,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1487
7241,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,304
7247,Unknown,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,148
7248,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,No priority to pedestrian,2,1387
7249,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,3431
7251,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Other,2,122
7259,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Getting off the vehicle improperly,2,3297
7260,Under 18,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Driving carelessly,2,686
7261,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the left,2,438
7263,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1685
7264,Unknown,Male,5-10yrs,Earth roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,562
7267,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,14
7270,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,397
7271,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Unknown,No priority to vehicle,2,2290
